epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,689.025,1.6569,2.31114,1.2448,0.95637,0.33161,0.56201,0.31133,1.40581,2.59673,1.11902,0.000367141,0.000367141,0.000367141
2,1351.49,1.43587,1.30441,1.13167,0.75774,0.75831,0.81117,0.45479,1.39549,1.38762,1.13719,0.000722872,0.000722872,0.000722872
3,2020.3,1.38651,1.1119,1.10765,0.78445,0.89423,0.82638,0.47428,1.35194,1.02816,1.10263,0.00106394,0.00106394,0.00106394
